Higher Taxonomy;Genus;Species;C1;C2;C3;C4;C5;C6;C7;C8;C9;C10;C11;C12;C13;C14;C15;C16;C17;C18
Thyreophora;Stegosaurus;mjosi;0.402756681;?;0.096138186;0.24581114;0.173313231;0.331039306;0.568458863;-0.222811303;0.072360642;0.022891768;0.961864407;?;0.516949153;?;0.110194175;?;?;-0.001863769
Thyreophora;Huayangosaurus;taibaii;0.246969239;0.784525873;0.073054843;0.263112543;0.135505413;0.23328736;0.552251428;-0.10598878;0.016875461;-0.054953336;1.694732533;?;0;?;0.25010573;?;?;0
Thyreophora;Jiangjunosaurus;junggarensis;0.315665544;0.55644312;0.076870621;0.312960479;0.175597164;0.449531014;0.214949353;-0.238418369;0.015664062;0.034012435;?;?;?;?;?;?;?;0.099046741
Thyreophora;Stegosaurus;cf. armatus;0.336703487;?;0.071460623;0.269796853;0.163081984;0.327672568;0.436376477;-0.160763565;0.042099175;0.042294297;0.956455039;?;?;?;?;?;?;0.028611446
Thyreophora;Animantarx;ramaljonesi;0.370462329;1.00340553;0.064696673;0.374818058;0.202822275;0.248365133;0.669946073;-0.25134817;0;0.053071464;0.945595334;?;2.920152856;?;0.112194249;0.107609879;165.107;0.138761146
Thyreophora;Edmontonia;longiceps;0.313126269;0.819765192;0.073739577;0.329705231;0.220147969;0.282092997;0.633206002;-0.129989548;0;0.029834249;?;?;2.448361823;?;?;0.084371267;147.704;0.215001618
Thyreophora;Panoplosaurus;mirus;0.258485353;0.685705145;0.107478177;0.300675453;0.19213058;0.227423394;0.590790774;-0.136500824;0;0.052948886;?;?;3.191371539;?;?;0.09676112;133.807;0.095265239
Thyreophora;Sauropelta;edwardsi;0.293167423;0.743046684;0.107829741;0.326832869;0.190871812;0.305192201;0.587963788;-0.141328691;0;0.095911957;?;?;?;?;?;?;?;0.188671309
Thyreophora;Silvisaurus;condrayi;0.279343838;0.866100005;0.070429699;0.360867219;0.236361492;0.283314297;0.688025983;-0.222967718;?;0.140557607;?;?;?;?;?;?;?;0.26415643
Thyreophora;Ankylosaurus;magniventris;0.231037906;0.613241471;0.053063353;0.26706537;0.186182484;0.309630281;0.62438333;-0.175142928;0;0.066434676;?;?;?;?;?;?;?;0.073743474
Thyreophora;Euoplcephalus;tutus;0.205972784;0.670953183;0.099859553;0.248774217;0.221427268;0.203435725;0.681221454;-0.22537171;0;0.136649829;?;?;5.332283915;?;?;0.072809273;110.684;0.109746186
Thyreophora;Pinacosaurus;grangeri;0.307862325;0.84309887;0.100133928;0.304423701;0.208463137;0.270991601;0.654695866;-0.227994742;0;0.06182936;1.292467418;?;1.918930859;?;0.179176236;?;?;0.167791714
Thyreophora;Saichinia;chulsanensis;0.323688956;0.879340278;0.128772605;0.367496291;0.255715576;0.266638916;0.636699946;-0.194503938;0;0.061983297;1.345626976;?;0;?;0.120382106;?;?;0.23678857
Thyreophora;Tarchia;gigantea;0.314387457;0.933484186;0.108333737;0.326512009;0.2263829;0.279088824;0.647195772;-0.129294957;0;0.041395319;1.291929688;?;0;?;0.160780759;?;?;0.221546407
Marginocephalia;Stegoceras;validum;0.39622359;0.910282431;0.053351901;0.307446839;0.168128242;0.179853181;0.55034916;-0.094266048;0;-0.037506988;2.117751611;?;1.652299489;?;0.547218554;?;130.121;-0.038772502
Marginocephalia;Yinlong;downsi;0.430970056;0.760308822;0.049744194;0.201691773;0.123900007;0.461674564;0.418956094;0.037495304;0.011437316;0;0.852512156;?;0;?;0.29311786;?;?;0.003005441
Marginocephalia;Liaoceratops;yanzigouensis;0.356203784;0.706004412;0.052643179;0.374580576;0.221247848;0.442765008;0.476841544;0;0;-0.020079793;1.065205628;?;0.567911255;?;0.192377229;?;?;-0.016275205
Marginocephalia;"""Hongshanosaurus""";houi;0.316657841;0.628492785;0.167897997;0.357206455;0.240279331;0.380922597;0.449650108;-0.080581903;0;-0.018115764;1.305714286;?;0.39547619;?;0.141486068;?;?;-0.046173997
Marginocephalia;Psittacosaurus;gobiensis;0.383246751;0.764614346;0.21749496;0.346293014;0.195628599;0.361960321;0.42461724;-0.122027765;0;-0.032984551;0.979369404;?;1.000389257;?;0.130511464;?;137.526;-0.024860927
Marginocephalia;Psittacosaurus;lujiatunensis;0.421946757;0.881398674;0.196337229;0.332308269;0.203052498;0.372738484;0.450310381;-0.130807616;0;-0.035693652;0.985678313;?;0.700031476;?;0.130817111;?;?;0.020985207
Marginocephalia;Psittacosaurus;major;0.392596174;0.849572833;0.174088467;0.344528074;0.193507377;0.32637112;0.467545579;-0.129993964;0.030078536;-0.038766067;1.239772519;?;1.922583012;?;0.137926812;?;?;-0.00871256
Marginocephalia;Psittacosaurus;mongoliensis;0.447308427;0.904801706;0.086332678;0.30269565;0.184890435;0.237633679;0.481118586;-0.126947939;0.002604031;-0.016489537;1.173590504;?;1.304154303;?;0.186600613;?;?;-0.035819007
Marginocephalia;Psittacosaurus;neimongoliensis;0.46111131;0.731529819;0.128988125;0.364831287;0.211924149;0.495139738;0.382532193;-0.009364402;0;0.003067939;1.382567194;?;0.683496609;?;0.188357688;?;?;-0.033248889
Marginocephalia;Psittacosaurus;ordosensis;0.36831161;0.734421008;0.178377157;0.356176135;0.213093671;0.374140514;0.428084867;0.01646628;0;0.063410403;?;?;?;?;?;?;?;-0.021114227
Marginocephalia;Psittacosaurus;sinensis;0.437786021;0.817094049;0.103945326;0.325017962;0.184065944;0.309330011;0.456205608;-0.129195958;0;0;0.856496445;?;0.694408533;?;0.242807403;?;?;0.008448757
Marginocephalia;Archaeoceratops;oshimai;0.369328369;0.810641733;0.050521767;0.342811645;0.180039175;0.406677823;0.526625038;-0.005868346;0;0.006985567;1.024847336;?;0.591492946;?;0.175862692;?;?;0.080505444
Marginocephalia;Auroraceratops;rugosus;0.427177383;0.937434211;0.048356876;0.288134705;0.176806242;0.366336162;0.54130674;-0.137168205;0.018888153;0.01754247;?;?;?;?;?;?;?;-0.065418023
Marginocephalia;Yamaceratops;dourgobiensis;0.348786753;0.810625466;0.048330267;0.397495127;0.244751429;0.376941899;0.556007133;0.027296479;0;-0.050316999;1.365054294;?;0;?;0.225925563;?;?;0.057661842
